epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4107.47,1.30388,3.00549,0.02687,0.72201,0.54183,0.60552,0.33153,1.69387,1.49012,0.0364,0.00999194,0.00333065,0.00999194,0.00333065,0.00999194,0.00333065,0.00999194,0.00333065
2,6987.89,1.31416,1.86783,0.02729,0.71313,0.59402,0.64163,0.44143,1.3371,1.28889,0.02871,0.0199917,0.00666391,0.0199917,0.00666391,0.0199917,0.00666391,0.0199917,0.00666391
3,9087.66,1.40001,2.05439,0.02958,0.51292,0.39881,0.37789,0.21597,1.87145,2.26186,0.04487,0.0299908,0.00999692,0.0299908,0.00999692,0.0299908,0.00999692,0.0299908,0.00999692
4,11587.1,1.4493,2.16083,0.03055,0.67291,0.6501,0.67869,0.44559,1.46961,1.25174,0.03327,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,14335.6,1.37728,1.9906,0.02867,0.72756,0.66566,0.7242,0.49983,1.36478,1.13388,0.02964,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,16412.2,1.34112,1.87829,0.02761,0.72511,0.68521,0.73147,0.53835,1.27333,1.09624,0.02768,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,18758,1.31461,1.8066,0.02697,0.77473,0.72758,0.7664,0.53686,1.30396,1.00908,0.02819,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,21477.8,1.28644,1.74592,0.02628,0.7605,0.73792,0.77587,0.56418,1.24457,1.01621,0.02621,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,23753.4,1.26754,1.6989,0.0259,0.80322,0.73116,0.79516,0.5685,1.2548,0.91055,0.02663,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,25814.9,1.25709,1.66446,0.02544,0.77037,0.76437,0.8118,0.59039,1.21091,0.96078,0.02537,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
11,27949.9,1.25063,1.62352,0.0252,0.81265,0.74323,0.80832,0.59624,1.16554,0.88845,0.02499,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
12,30225,1.23977,1.60176,0.02494,0.832,0.74997,0.81654,0.61787,1.13877,0.86952,0.02406,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
13,32350.3,1.23047,1.58398,0.0247,0.82553,0.75606,0.8239,0.62934,1.12726,0.85782,0.02358,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
14,34719,1.22308,1.57222,0.02451,0.81176,0.75592,0.82388,0.63224,1.09344,0.78382,0.02317,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
15,36855.2,1.21099,1.55875,0.02431,0.82045,0.78665,0.82705,0.64034,1.10077,0.76474,0.02317,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
16,38848.5,1.21476,1.54866,0.02434,0.87996,0.76452,0.842,0.65409,1.08525,0.76577,0.02269,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
17,41159.1,1.20208,1.51779,0.02401,0.83267,0.80981,0.8399,0.66122,1.0734,0.77391,0.02263,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501
18,43662.2,1.20759,1.5108,0.02425,0.82131,0.79388,0.83524,0.6468,1.10015,0.74597,0.02305,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179
19,45996.4,1.20516,1.51954,0.02419,0.84768,0.7829,0.8435,0.65291,1.09369,0.7747,0.02282,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838
20,48008.8,1.18854,1.49214,0.02381,0.88872,0.77215,0.85219,0.66747,1.06459,0.77703,0.02227,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477
21,50335.8,1.19469,1.49044,0.02386,0.86277,0.78515,0.85279,0.6694,1.06229,0.74974,0.02233,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
22,52434.2,1.19125,1.48176,0.02371,0.84464,0.79416,0.845,0.66337,1.06471,0.76579,0.02235,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697
23,54536.9,1.1874,1.47807,0.02379,0.86106,0.7954,0.84954,0.66359,1.06867,0.77772,0.02262,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278
24,57373,1.18439,1.4675,0.02362,0.88888,0.7743,0.85235,0.66619,1.07426,0.79256,0.02273,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484
25,59792.4,1.1782,1.44947,0.02346,0.87412,0.78992,0.85269,0.66693,1.07143,0.79853,0.0225,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383
26,61593.5,1.18059,1.45225,0.02347,0.85246,0.79316,0.85259,0.66999,1.05988,0.78934,0.02224,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
27,63839.8,1.17976,1.44946,0.02358,0.87181,0.78615,0.85327,0.67173,1.05421,0.77979,0.0221,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341
28,66762.9,1.17202,1.42429,0.02333,0.87196,0.78229,0.85263,0.67149,1.05416,0.77729,0.0221,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894
29,68825.3,1.17363,1.43736,0.02335,0.84582,0.79383,0.85106,0.66851,1.05493,0.78818,0.0221,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
30,70939.1,1.18046,1.42909,0.02348,0.85398,0.79713,0.85091,0.66924,1.05045,0.78834,0.02195,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805
31,73125.9,1.17517,1.43281,0.0234,0.84802,0.79836,0.84963,0.66874,1.05079,0.79596,0.02199,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
32,74877,1.1721,1.43317,0.02328,0.88371,0.76461,0.84872,0.66812,1.04902,0.79762,0.02195,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064
33,77700.1,1.17349,1.43429,0.02341,0.84589,0.78749,0.84653,0.6659,1.04744,0.81744,0.02195,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028
34,81113.6,1.16913,1.4219,0.02324,0.84233,0.786,0.84353,0.66251,1.04824,0.82047,0.02195,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398
35,83227.6,1.17498,1.41459,0.02336,0.86449,0.77331,0.8437,0.66249,1.04902,0.81533,0.02197,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748
36,85524,1.17284,1.40685,0.02323,0.86306,0.77269,0.84176,0.66161,1.05079,0.82096,0.02209,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
37,87846.2,1.16613,1.39923,0.02305,0.85121,0.78258,0.84182,0.66134,1.05391,0.82385,0.02214,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391
38,89942.9,1.16503,1.40181,0.02306,0.86589,0.77915,0.84237,0.6606,1.05688,0.82761,0.02216,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684
39,92963.9,1.15608,1.40458,0.02303,0.8642,0.77766,0.84768,0.66308,1.06156,0.82736,0.02233,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958
40,95633.4,1.16226,1.40729,0.02303,0.86521,0.78002,0.84728,0.66222,1.06659,0.84124,0.02243,0.0295564,0.00985213,0.0295564,0.00985213,0.0295564,0.00985213,0.0295564,0.00985213
41,98419.2,1.15998,1.39545,0.02295,0.85537,0.77918,0.84583,0.66003,1.07364,0.84832,0.02254,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
42,100716,1.16343,1.40177,0.023,0.86624,0.7808,0.84693,0.66016,1.0749,0.84981,0.0226,0.02951,0.00983666,0.02951,0.00983666,0.02951,0.00983666,0.02951,0.00983666
43,102892,1.16542,1.39475,0.02321,0.87045,0.78204,0.84881,0.66162,1.07721,0.85184,0.0227,0.0294859,0.00982864,0.0294859,0.00982864,0.0294859,0.00982864,0.0294859,0.00982864
44,104629,1.16649,1.39699,0.02305,0.86879,0.78065,0.8482,0.65981,1.07932,0.86106,0.0227,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043
45,106639,1.16594,1.39473,0.02313,0.87844,0.77558,0.84669,0.65711,1.0814,0.86665,0.02282,0.0294361,0.00981204,0.0294361,0.00981204,0.0294361,0.00981204,0.0294361,0.00981204
46,108554,1.1577,1.39399,0.02287,0.876,0.77795,0.84616,0.65843,1.07983,0.86566,0.0228,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
47,111434,1.15898,1.38537,0.02296,0.8769,0.7722,0.84399,0.65561,1.08239,0.87049,0.02288,0.029384,0.00979468,0.029384,0.00979468,0.029384,0.00979468,0.029384,0.00979468
48,113751,1.1591,1.3813,0.02286,0.87703,0.77145,0.84343,0.65572,1.08564,0.87214,0.02296,0.0293572,0.00978572,0.0293572,0.00978572,0.0293572,0.00978572,0.0293572,0.00978572
49,115939,1.15571,1.37991,0.02282,0.88579,0.76254,0.84289,0.65156,1.08682,0.87578,0.023,0.0293297,0.00977658,0.0293297,0.00977658,0.0293297,0.00977658,0.0293297,0.00977658
50,118143,1.16024,1.37548,0.02298,0.8781,0.77188,0.84363,0.65245,1.08881,0.8773,0.02312,0.0293017,0.00976725,0.0293017,0.00976725,0.0293017,0.00976725,0.0293017,0.00976725
51,120659,1.15792,1.37187,0.0229,0.86218,0.77997,0.84155,0.64993,1.08887,0.87716,0.02317,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
52,123168,1.15502,1.36644,0.02289,0.86983,0.7756,0.84165,0.65259,1.09028,0.8781,0.02322,0.0292441,0.00974803,0.0292441,0.00974803,0.0292441,0.00974803,0.0292441,0.00974803
