epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,454.296,1.18689,4.42793,0.02608,0.62151,0.45566,0.49904,0.29162,1.44002,1.58221,0.03452,0.00999348,0.00333116,0.00999348,0.00333116,0.00999348,0.00333116,0.00999348,0.00333116
2,841.739,1.21195,1.97342,0.02645,0.55907,0.56943,0.5927,0.37775,1.38732,1.66245,0.03362,0.0199934,0.00666448,0.0199934,0.00666448,0.0199934,0.00666448,0.0199934,0.00666448
3,1166.89,1.28846,1.9138,0.02819,0.6282,0.47616,0.50713,0.28215,1.51136,1.61605,0.03689,0.0299932,0.00999773,0.0299932,0.00999773,0.0299932,0.00999773,0.0299932,0.00999773
4,1484.06,1.31294,1.94581,0.02876,0.67286,0.55787,0.60354,0.38187,1.44246,1.65201,0.03449,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978
5,1804.25,1.26653,1.79366,0.02729,0.72011,0.61551,0.67963,0.46326,1.29049,1.21803,0.02952,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961
6,2120.17,1.23503,1.68054,0.02632,0.7317,0.63119,0.7202,0.49266,1.26362,1.11685,0.02871,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
7,2439.43,1.20886,1.60667,0.02553,0.72282,0.66669,0.72879,0.49979,1.28357,1.07897,0.02916,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
8,2757.16,1.19342,1.54596,0.02519,0.75888,0.66761,0.74855,0.52537,1.21861,1.00099,0.02757,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988
9,3080.89,1.18152,1.51007,0.02488,0.79229,0.7068,0.76917,0.54322,1.207,1.07332,0.02706,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
10,3397.43,1.17106,1.46265,0.02447,0.7788,0.70749,0.7527,0.53747,1.18857,1.07675,0.02665,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802
11,3723.4,1.15687,1.43705,0.02422,0.77878,0.74121,0.7793,0.54159,1.21712,0.99166,0.02786,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
12,4044.38,1.14703,1.41428,0.02401,0.77615,0.71308,0.78071,0.56832,1.17721,0.9264,0.02635,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704
13,4366.62,1.14138,1.38895,0.02373,0.77393,0.74831,0.7921,0.57426,1.16334,1.02649,0.02563,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
14,4677.4,1.13553,1.3692,0.02346,0.77483,0.74596,0.77073,0.55899,1.1503,1.02234,0.02538,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587
15,4994.13,1.12505,1.35424,0.02352,0.82282,0.71987,0.7883,0.56554,1.15962,1.0274,0.02567,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
16,5314.93,1.12896,1.33737,0.02331,0.81383,0.71411,0.79749,0.57817,1.15123,0.9923,0.02527,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
17,5631.12,1.11559,1.32122,0.02314,0.8157,0.7172,0.79004,0.58138,1.14182,0.98794,0.02505,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
18,5949.44,1.12137,1.32118,0.02327,0.78989,0.74075,0.79158,0.57997,1.13926,1.00313,0.02511,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294
19,6265.29,1.11991,1.3168,0.02313,0.82687,0.71139,0.78873,0.58176,1.14067,0.99776,0.02507,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
20,6579.62,1.11367,1.29635,0.02305,0.79952,0.73061,0.79142,0.5834,1.13752,0.99683,0.02496,0.0299736,0.00999118,0.0299736,0.00999118,0.0299736,0.00999118,0.0299736,0.00999118
21,6900.37,1.10523,1.27938,0.02286,0.80793,0.73349,0.79035,0.58308,1.13893,1.01073,0.02502,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
22,7215.11,1.11154,1.28074,0.02279,0.8115,0.73167,0.78932,0.58412,1.1372,1.00887,0.02497,0.0299677,0.00998923,0.0299677,0.00998923,0.0299677,0.00998923,0.0299677,0.00998923
23,7527.95,1.10126,1.27176,0.02271,0.80939,0.73691,0.79204,0.58653,1.13486,0.99977,0.02492,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
24,7841.42,1.10233,1.26914,0.02263,0.82629,0.72482,0.7781,0.57135,1.13235,0.99563,0.02482,0.0299613,0.00998708,0.0299613,0.00998708,0.0299613,0.00998708,0.0299613,0.00998708
25,8165.14,1.10004,1.25907,0.02267,0.80879,0.73604,0.79671,0.58923,1.13033,0.9997,0.02474,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
26,8481.65,1.09367,1.25338,0.02258,0.80662,0.74489,0.79852,0.59033,1.13014,1.00863,0.02475,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
27,8797.14,1.09619,1.24668,0.02256,0.78893,0.75673,0.79753,0.59022,1.12885,1.02287,0.02473,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
28,9113.33,1.08825,1.23532,0.02247,0.81635,0.73481,0.79978,0.59265,1.12712,1.01868,0.02469,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822
29,9432.72,1.08804,1.23699,0.02238,0.80751,0.74134,0.7988,0.59045,1.12942,1.01648,0.02476,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
30,9748.06,1.08998,1.2408,0.0225,0.80753,0.73779,0.79825,0.5903,1.13184,1.01118,0.02485,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947
31,10068.3,1.08672,1.22832,0.0224,0.77268,0.76121,0.79821,0.59009,1.13357,1.00714,0.02492,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
32,10389.3,1.08997,1.2254,0.02244,0.80869,0.73838,0.79973,0.59193,1.13293,1.00275,0.02494,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654
33,10711.8,1.08031,1.21356,0.02223,0.82017,0.73546,0.80026,0.59265,1.13213,1.00028,0.02493,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501
34,11040.5,1.08057,1.21653,0.02221,0.81537,0.74072,0.80016,0.59197,1.1329,0.99505,0.02496,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342
35,11364.7,1.08529,1.21186,0.02231,0.81276,0.74189,0.79846,0.59254,1.13198,0.99452,0.02494,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179
36,11689.6,1.07993,1.20471,0.0221,0.8138,0.73334,0.797,0.59208,1.13022,0.99689,0.02494,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
37,12014.2,1.08197,1.20351,0.02219,0.81115,0.73754,0.79674,0.59201,1.13007,0.99151,0.02493,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838
38,12341.5,1.07803,1.19681,0.02215,0.81338,0.73874,0.79617,0.59227,1.13093,1.00024,0.02494,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666
39,12668.2,1.08381,1.20656,0.02221,0.79635,0.75585,0.79636,0.59388,1.12723,0.99839,0.02484,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477
40,12993.5,1.08273,1.20229,0.02228,0.81818,0.73901,0.79779,0.59467,1.12804,0.99936,0.0249,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289
41,13317.8,1.07366,1.20351,0.02208,0.82562,0.73734,0.79806,0.59369,1.1287,0.98921,0.02491,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
42,13637.5,1.0802,1.19331,0.02216,0.83881,0.72268,0.78746,0.58217,1.12922,0.98584,0.02493,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899
43,13954.2,1.07799,1.19263,0.02212,0.83178,0.73098,0.79885,0.59336,1.12887,0.98405,0.02491,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697
44,14271.7,1.07925,1.19506,0.02214,0.83429,0.72966,0.80063,0.59509,1.12942,0.97879,0.02492,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549
45,14586.1,1.07245,1.19486,0.02195,0.8391,0.72771,0.8002,0.59401,1.12798,0.97858,0.0249,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278
46,14897.2,1.07685,1.19212,0.02208,0.83961,0.72553,0.79168,0.58473,1.1294,0.97556,0.02495,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
47,15219.1,1.07539,1.19133,0.02211,0.83245,0.73318,0.79028,0.58359,1.12837,0.9859,0.02491,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484
48,15536,1.07381,1.17557,0.02196,0.81564,0.74154,0.79862,0.59415,1.12807,0.98246,0.0249,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614
49,15851.7,1.07162,1.17485,0.02194,0.80582,0.74741,0.7976,0.59375,1.1288,0.98133,0.02492,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383
